Date,Artist,Song,Week
1966-07-28,The Troggs,Wild Thing,2
1966-07-29,The Troggs,Wild Thing,2
1966-07-30,The Troggs,Wild Thing,2
1966-07-31,The Troggs,Wild Thing,2
1966-08-01,The Troggs,Wild Thing,2
1966-08-02,The Troggs,Wild Thing,2
1966-08-03,The Troggs,Wild Thing,2
1966-08-04,The Troggs,Wild Thing,2
1966-08-05,The Troggs,Wild Thing,2
1966-08-06,The Troggs,Wild Thing,2
1966-08-07,The Troggs,Wild Thing,2
1966-08-08,The Lovin' Spoonful,Summer In The City,3
1966-08-09,The Lovin' Spoonful,Summer In The City,3
1966-08-10,The Lovin' Spoonful,Summer In The City,3
1966-08-11,The Lovin' Spoonful,Summer In The City,3
1966-08-12,The Lovin' Spoonful,Summer In The City,3
1966-08-13,The Lovin' Spoonful,Summer In The City,3
1966-08-14,The Lovin' Spoonful,Summer In The City,3
1966-08-15,The Lovin' Spoonful,Summer In The City,3
1966-08-16,The Lovin' Spoonful,Summer In The City,3
1966-08-17,The Lovin' Spoonful,Summer In The City,3
1966-08-18,The Lovin' Spoonful,Summer In The City,3
1966-08-19,The Lovin' Spoonful,Summer In The City,3
1966-08-20,The Lovin' Spoonful,Summer In The City,3
1966-08-21,The Lovin' Spoonful,Summer In The City,3
1966-08-22,The Lovin' Spoonful,Summer In The City,3
1966-08-23,The Lovin' Spoonful,Summer In The City,3
1966-08-24,The Lovin' Spoonful,Summer In The City,3
1966-08-25,The Lovin' Spoonful,Summer In The City,3
1966-08-26,The Lovin' Spoonful,Summer In The City,3
1966-08-27,The Lovin' Spoonful,Summer In The City,3
1966-08-28,The Lovin' Spoonful,Summer In The City,3
1966-08-29,Donovan,Sunshine Superman,1
1966-08-30,Donovan,Sunshine Superman,1
1966-08-31,Donovan,Sunshine Superman,1
1966-09-01,Donovan,Sunshine Superman,1
1966-09-02,Donovan,Sunshine Superman,1
1966-09-03,Donovan,Sunshine Superman,1
1966-09-04,Donovan,Sunshine Superman,1
1966-09-05,The Supremes,You Can't Hurry Love,2
1966-09-06,The Supremes,You Can't Hurry Love,2
1966-09-07,The Supremes,You Can't Hurry Love,2
1966-09-08,The Supremes,You Can't Hurry Love,2
1966-09-09,The Supremes,You Can't Hurry Love,2
1966-09-10,The Supremes,You Can't Hurry Love,2
1966-09-11,The Supremes,You Can't Hurry Love,2
1966-09-12,The Supremes,You Can't Hurry Love,2
1966-09-13,The Supremes,You Can't Hurry Love,2
1966-09-14,The Supremes,You Can't Hurry Love,2
